
time,open,high,low,close,volume,volCcy
1655960400000,20358.9,20480,20270.9,20351,458848,4588.48
1655956800000,20213.4,20395,20160,20357.9,539210,5392.1
1655953200000,20356.6,20375.1,20208,20213.4,502329,5023.29
1655949600000,20382.2,20495,20342.1,20356.3,473378,4733.78
1655946000000,20419.9,20614.3,20336.5,20378,803037,8030.37
1655942400000,19993.4,20513,19887.1,20419.8,1262803,12628.03
1655938800000,20104.2,20145.1,19962.4,19993.4,321260,3212.6
1655935200000,20012.2,20176.9,19921,20103.9,372227,3722.27
1655931600000,19883.3,20074.2,19823.1,20012.1,392086,3920.86
1655928000000,20115.2,20256.4,19755.4,19881.6,1205120,12051.2
1655924400000,20219.5,20265,19913.2,20117.9,760998,7609.98
1655920800000,20264.5,20378.4,20195.7,20219.4,427885,4278.85
1655917200000,20320.9,20380,20150,20263.7,833901,8339.01
1655913600000,20088.8,20347.3,19835.8,20320.9,1686094,16860.94
1655910000000,20692.7,20700,20028,20088.1,1579868,15798.68
1655906400000,20722,20897.5,20623.5,20693.5,1322402,13224.02
1655902800000,20363,20780,20229.2,20723,1415099,14150.99
1655899200000,20502.2,20577.7,20108.1,20362.9,1138657,11386.57
1655895600000,20415.7,20673.6,20392.4,20502.1,629563,6295.63
1655892000000,20423.1,20550,20350.3,20415.6,494693,4946.93
1655888400000,20233.1,20497.7,20231.2,20425.4,792627,7926.27
1655884800000,20099.1,20262.1,20038.4,20232.5,547529,5475.29
1655881200000,20112.1,20250,19963.7,20100.3,765933,7659.33
1655877600000,20373.6,20449,19958,20110.7,1216290,12162.9
1655874000000,20433.9,20596.9,20372.3,20373.7,538473,5384.73
1655870400000,20317.4,20468.8,20269.9,20436.7,640272,6402.72
1655866800000,20468.3,20570,20253.5,20316,560467,5604.67
1655863200000,20413.2,20526,20320.5,20468.3,749655,7496.55
1655859600000,20590.3,20720,20384.9,20413.2,613287,6132.87
1655856000000,20727.1,20741.1,20458,20590.3,818404,8184.04
1655852400000,20896.5,20943.6,20553,20723.4,647022,6470.22
1655848800000,20976.3,21003.8,20740.4,20896.4,547520,5475.2
1655845200000,20862.7,21083.7,20817,20976.4,292578,2925.78
1655841600000,20891.2,21000,20676.3,20861.9,738735,7387.35
1655838000000,21106.6,21312.5,20875,20893.5,685105,6851.05
1655834400000,21243.9,21257.8,21083.1,21108.6,458035,4580.35
1655830800000,21401.1,21460,21199.1,21244.6,653055,6530.55
1655827200000,21396.5,21558,21356.6,21401,521204,5212.04
1655823600000,21591.3,21604.1,21330,21396.5,772526,7725.26
1655820000000,21613.6,21749.2,21427.2,21588.7,1263600,12636
1655816400000,21100.6,21656.1,20991.3,21613.7,1815902,18159.02
1655812800000,20961.7,21166,20851,21101.8,910918,9109.18
1655809200000,21297.9,21365.8,20913.8,20963.5,1037357,10373.57
1655805600000,21194.6,21315.4,21062.3,21297.4,693041,6930.41
1655802000000,21355.7,21463.7,21166.3,21195.4,838551,8385.51
1655798400000,21109.8,21480,21045.5,21351.4,1402418,14024.18
1655794800000,21181.3,21320,20951.2,21109.7,1062056,10620.56
1655791200000,20887.1,21222,20887.1,21181.7,1209176,12091.76
1655787600000,20654.6,21038,20615.7,20887.9,1388007,13880.07
1655784000000,20610.6,20749.1,20470,20652.5,587238,5872.38
1655780400000,20433.4,20665,20362,20610.5,628365,6283.65
1655776800000,20667.9,20696.3,20350.8,20430,678232,6782.32
1655773200000,20676.7,20796.6,20503,20664.7,565242,5652.42
1655769600000,20579.1,20711.7,20394.2,20676.6,615509,6155.09
1655766000000,20497,20795.6,20379,20580.8,656031,6560.31
1655762400000,20417.8,20588,20267,20493.8,512058,5120.58
1655758800000,20460,20648.4,20324,20416,461605,4616.05
1655755200000,20082.7,20536,20004.8,20462.6,586541,5865.41
1655751600000,20048.2,20192,19889.5,20082.4,560556,5605.56
1655748000000,19978.6,20117.3,19835.2,20049.5,887333,8873.33
1655744400000,20282.3,20460.9,19961.6,19980.1,1048404,10484.04
1655740800000,20825,20831.5,20210.2,20282.4,1160867,11608.67
1655737200000,20846.8,21112.6,20546.4,20825,1240468,12404.68
1655733600000,20524.8,20937,20505.1,20851.5,908084,9080.84
1655730000000,20554,20699.1,20380.5,20522.6,894648,8946.48
1655726400000,20799.3,20822.1,20360,20554,1213190,12131.9
1655722800000,20880.3,20968,20673.1,20799.4,859849,8598.49
1655719200000,20648.8,20994.9,20464.8,20879.7,1472841,14728.41
1655715600000,20564.5,21043.9,20475.3,20647.2,1638851,16388.51
1655712000000,20080.3,20660,20020,20565.5,1656216,16562.16
1655708400000,20131.2,20156,19877.1,20076.2,514457,5144.57
1655704800000,20100.1,20272.4,19915.9,20133.8,647603,6476.03
1655701200000,19854.9,20116.9,19768,20101.4,636953,6369.53
1655697600000,19974.4,20174.9,19803.6,19854.3,516518,5165.18
1655694000000,19946.8,20203.6,19847.6,19974.9,632149,6321.49
1655690400000,19796.3,20128,19666.3,19944.7,966760,9667.6
1655686800000,20065.9,20164.9,19635,19797.5,1027535,10275.35
1655683200000,20570.9,20664.5,20057.1,20065.8,762952,7629.52
1655679600000,20697.6,20719.2,20412.6,20571.1,441636,4416.36
1655676000000,20397.5,20850,20313,20697.6,1007796,10077.96
1655672400000,20645.8,20680.4,20283.9,20397.4,520008,5200.08
1655668800000,20128.3,20798.4,20055,20647.8,1519569,15195.69
1655665200000,20264.1,20351.9,19835.4,20126.9,1227058,12270.58
1655661600000,19447.3,20288,19414.1,20263.3,965632,9656.32
1655658000000,19518,19599,19382.4,19447.4,432782,4327.82
1655654400000,19823.6,19876,19368.8,19520.9,881693,8816.93
1655650800000,19475.5,19950,19326.5,19823.6,1502315,15023.15
1655647200000,19185.4,19519.2,19156.4,19475.6,742808,7428.08
1655643600000,19345.1,19598,19117,19185.4,813287,8132.87
1655640000000,19690,19940.8,19286.1,19345,1599204,15992.04
1655636400000,19894.1,20000,19570,19690,965237,9652.37
1655632800000,18999.1,20100,18882,19892.8,3375937,33759.37
1655629200000,18664.9,19307.1,18565.9,18998.8,1848855,18488.55
1655625600000,18308.4,18710.7,18264.5,18664.4,815837,8158.37
1655622000000,18256.1,18546,18245.1,18307.2,694399,6943.99
1655618400000,18126.1,18487.5,18050,18255.2,950519,9505.19
1655614800000,18505.1,18549.6,17954.1,18126.2,1438629,14386.29
1655611200000,18311.3,18627.5,18260,18505.2,636340,6363.4
1655607600000,18382.4,18749.7,18264.1,18313,895890,8958.9
1655604000000,18486.3,18537,18222.2,18382.5,956181,9561.81
1655600400000,18978.2,19044.3,18403,18486.3,993237,9932.37
1655596800000,18971.8,19208.6,18857.8,18975.5,789436,7894.36
1655593200000,19187,19286.9,18909.5,18972.5,788958,7889.58
1655589600000,18520.1,19500,18431.5,19192.8,1973570,19735.7
1655586000000,17811.9,18925.2,17756.7,18523.7,2143209,21432.09
1655582400000,18069.9,18154.5,17580,17806.6,2827075,28270.75
1655578800000,18219.9,18371.8,18031.7,18071.2,1204566,12045.66
1655575200000,18620.4,18657.1,18145,18219.9,1672672,16726.72
1655571600000,18874.6,18967.6,18444.2,18623.6,1486179,14861.79
1655568000000,18956.4,19099,18775.9,18874.6,860267,8602.67
1655564400000,19082.9,19130,18924.6,18958.5,611224,6112.24
1655560800000,19202.1,19268.2,19064.3,19082.9,436067,4360.67
1655557200000,19157.5,19237.5,19092,19202,475296,4752.96
1655553600000,19248.3,19290,19125,19157.5,565519,5655.19
1655550000000,19392.2,19470.8,19222.2,19252,631027,6310.27
1655546400000,19163.6,19544.3,19141.2,19392.2,1256012,12560.12
1655542800000,19008.4,19221.5,18889.7,19164.3,873382,8733.82
1655539200000,19261.6,19380,18704.1,19012,2701781,27017.81
1655535600000,19429.2,19598,19050,19262.8,2672043,26720.43
1655532000000,20422.3,20450,19026.2,19429.2,2881930,28819.3
1655528400000,20490,20540.7,20390,20422.3,249450,2494.5
1655524800000,20459.7,20499.5,20394.1,20489.2,242688,2426.88
1655521200000,20472,20500,20374.7,20459.8,308214,3082.14
1655517600000,20394.6,20528.1,20310,20473,643265,6432.65
1655514000000,20570.9,20608.9,20374.8,20394.5,639238,6392.38
1655510400000,20468.7,20778,20440.7,20571.8,547754,5477.54
1655506800000,20456.5,20556.3,20426.4,20469.8,223662,2236.62
1655503200000,20560,20619.9,20365,20456.5,400385,4003.85
1655499600000,20658.2,20685.1,20517.5,20560.1,133999,1339.99
1655496000000,20517.3,20729.7,20517.3,20658.2,276003,2760.03
1655492400000,20523.5,20552.6,20439.1,20520.5,281701,2817.01
1655488800000,20594.8,20656.8,20464.1,20523.6,352358,3523.58
1655485200000,20574.4,20715.6,20501.5,20594.8,506407,5064.07
1655481600000,20667.9,20799.3,20525.5,20574.1,712190,7121.9
1655478000000,20551.7,20766.2,20524.8,20667.9,811054,8110.54
